scientific_name,local_names,regions,medicinal_uses,preparation,dosage,contraindications,philosophy_embodied,spiritual_use,related_healing_practice
Artemisia afra,African wormwood|Umhlonyane (Zulu)|Lengana (Sotho),Southern Africa East Africa,Malaria|fever|cough|digestive disorders|respiratory infections,Decoction|infusion|steam inhalation|poultice,1 cup tea 3x daily|steam inhalation 2x daily,Pregnancy|epilepsy|kidney disease,Ma'at (natural antimalarial)|Ntu (vital force),Spiritual cleansing smoke|protective fumigation,Traditional herbalism|smoke inhalation
Aloe ferox,Cape aloe|Bitter aloe|Umhlaba (Xhosa),Southern Africa,Wounds|burns|skin conditions|digestive issues|laxative,Fresh gel topical|juice internal use|powder,Topical as needed|juice 50ml daily,Pregnancy|intestinal obstruction|kidney disease,Ma'at (healing balance)|skin restoration,Protective planting|spiritual blessing,Herbalism|wound care
Moringa oleifera,Moringa|Drumstick tree|Zogale (Hausa)|Mlonge (Swahili),West Africa East Africa,Malnutrition|anemia|inflammation|diabetes|high blood pressure,Leaf powder|fresh leaves|tea|oil extraction,1-2 teaspoons powder daily|fresh leaves in food,Pregnancy (high doses)|blood thinners interaction,Ntu (vital force restoration)|complete nutrition,Blessing tree|protective planting,Traditional herbalism|nutrition therapy
Azadirachta indica,Neem|Dogonyaro (Yoruba)|Mwarobaini (Swahili),West Africa East Africa,Malaria|skin diseases|dental care|diabetes|immune boost,Leaf decoction|bark tea|oil application|tooth sticks,Tea 2-3x daily|oil topical|tooth stick daily,Pregnancy|fertility attempts|children,Ma'at (balance)|natural pharmacy,Protective planting|spiritual cleansing,Herbalism|dental care|spiritual bathing
Sutherlandia frutescens,Cancer bush|Kankerbos|Unwele (Xhosa),Southern Africa,Cancer support|immune boost|diabetes|stress|TB support,Tea|tincture|capsules,1-2 cups tea daily|300-800mg capsules,Pregnancy|transplant patients|immunosuppressants,Ubuntu (community healing)|hope medicine,Prayer blessing|spiritual strength,Traditional herbalism|spiritual healing
Pelargonium sidoides,African geranium|Umckaloabo (Zulu),Southern Africa,Respiratory infections|bronchitis|sinusitis|TB,Root extract|tincture|syrup,30 drops 3x daily|syrup per label,Pregnancy|liver disease|bleeding disorders,Ma'at (respiratory balance)|healing power,Healing blessing|spiritual protection,Herbalism|respiratory therapy
Hoodia gordonii,Hoodia|Ghaap (Afrikaans),Southern Africa,Appetite suppression|thirst suppression|energy,Raw plant|powder|extract,Small amounts|commercial extracts per label,Pregnancy|diabetes|heart conditions|liver disease,San wisdom|survival medicine,Sacred plant|spiritual fasting aid,Fasting therapy|traditional herbalism
Buchu,Bookoo|Boegoe,South Africa,Urinary infections|kidney health|inflammation|digestive aid,Tea|tincture|oil,1-2 cups tea daily|tincture per label,Pregnancy|kidney disease|liver disease,Khoisan medicine|purification,Spiritual cleansing|purification ritual,Herbalism|ritual washing
Rooibos,Red bush tea|Rooiboste,South Africa,Antioxidant|skin conditions|digestive aid|infant colic|allergies,Tea infusion|topical application,Unlimited consumption safe,None known (very safe),Ubuntu (communal wellness)|gentle healing,Blessing tea|spiritual refreshment,Herbalism|infant care|skin therapy
Devil's Claw,Duiwelsklou|Windhoek|Grapple plant,Southern Africa,Arthritis|pain relief|inflammation|digestive bitter,Root tea|capsules|tincture,1-2g dried root|400-600mg capsules 3x daily,Pregnancy|gallstones|peptic ulcers|diabetes meds,San healing wisdom|pain relief,Spiritual protection (name)|healing blessing,Bone-setting|herbalism
Warburgia salutaris,Pepper-bark tree|Isibhaha (Zulu)|Mulongo (Shona),Southern Africa East Africa,Malaria|chest infections|fever|stomach ailments|toothache,Bark decoction|powder|chewing sticks,Small amounts (very powerful)|tea 1 cup 2x daily,Over-harvesting concern|pregnancy caution,Powerful healing (endangered)|sacred medicine,Spiritual protection|powerful blessing,Herbalism|dental care|fever treatment
