culture,id,labels,language,meaning,provenance_ingestion_run_id,provenance_source,provenance_timestamp,provenance_upstream_id,source,text,translation,usage_context,validated_by,validation_status
Yoruba,yoruba-proverb-001,Proverb,Yoruba,"There are limits to everything, even play.",seed-yoruba-20260307,manual_curation,2026-03-07T15:00:54.893000000+00:00,N/A,Ifa Priest Fagbemijo,"Bi a ba ba omode sere, a o ma a pa a l'oju","If we play with a child, we do not poke its eye",Teaching moderation,Council of Yoruba Elders,community_reviewed
Yoruba,yoruba-proverb-002,Proverb,Yoruba,Discipline must be proportionate.,seed-yoruba-20260307,manual_curation,2026-03-07T15:00:54.893000000+00:00,YPP-023,"Yoruba Proverbs Project, Dr. Oluwole",A kì í f'ọmọdé l'ọ́wọ́ pa,One does not slap a child with a heavy hand,Parenting advice,Dr. Oluwole,scholarly
Yoruba,yoruba-proverb-003,Proverb,Yoruba,Early teaching leaves a lasting impression.,seed-yoruba-20260307,manual_curation,2026-03-07T15:00:54.893000000+00:00,CF-001,Chief Fagunwa,"Ọ̀rọ̀ tí a bá sọ fún ọmọdé, kì í ṣe ìgbàgbé",What is told to a child is not forgotten,Education,Chief Fagunwa,scholarly
Yoruba,yoruba-proverb-004,Proverb,Yoruba,Children often act without full awareness.,seed-yoruba-20260307,manual_curation,2026-03-07T15:00:54.893000000+00:00,N/A,Elder Adebayo,"Bí ọmọdé bá mọ́kun, kì í rí i pé òun ti mọ́kun","If a child washes his hands, he does not realize he has washed them",Observation of childhood,Elder Adebayo,community_reviewed
Yoruba,yoruba-proverb-005,Proverb,Yoruba,Children are not to be blamed for adult conflicts.,seed-yoruba-20260307,manual_curation,2026-03-07T15:00:54.893000000+00:00,N/A,Ifa Priestess Alake,Ọmọdé kì í ṣe ojú ẹ̀jẹ̀,A child is not the source of bloodshed,Conflict resolution,Ifa Priestess Alake,community_reviewed
Yoruba,yoruba-proverb-006,Proverb,Yoruba,Respect for all ages is a mark of wisdom.,seed-yoruba-20260307,manual_curation,2026-03-07T15:00:54.893000000+00:00,YWC-012,Yoruba Wisdom Collection,"Eni tí kò gbọ́ ti ọmọdé, kò ní gbọ́ ti àgbà",One who does not listen to a child will not listen to an elder,Respect and listening,Dr. Oluwole,scholarly
Yoruba,yoruba-proverb-007,Proverb,Yoruba,Desire can blind one to reality.,seed-yoruba-20260307,manual_curation,2026-03-07T15:00:54.893000000+00:00,N/A,Elder Adebayo,"Ọmọdé tó bá fẹ́ràn ẹran, kì í rí i tí ẹran ń jẹ",A child who loves meat does not see how it is eaten,Teaching discernment,Elder Adebayo,community_reviewed
Yoruba,yoruba-proverb-008,Proverb,Yoruba,Each generation has its own burdens.,seed-yoruba-20260307,manual_curation,2026-03-07T15:00:54.893000000+00:00,N/A,Ifa Priest Fagbemijo,Ọmọdé ò lè gbé ẹrù baba rẹ,A child cannot carry the load of his father,Generational wisdom,Ifa Priest Fagbemijo,community_reviewed
Yoruba,yoruba-proverb-009,Proverb,Yoruba,"Actions have consequences, often unseen.",seed-yoruba-20260307,manual_curation,2026-03-07T15:00:54.893000000+00:00,CF-004,Chief Fagunwa,"Bí ọmọdé bá mọ́wọ́, ó mọ́ ẹ̀yìn","If a child washes his hands, he also washes his back",Teaching responsibility,Chief Fagunwa,scholarly
Yoruba,yoruba-proverb-010,Proverb,Yoruba,Innocence is not protection.,seed-yoruba-20260307,manual_curation,2026-03-07T15:00:54.893000000+00:00,N/A,Ifa Priestess Alake,Ọmọdé kì í ṣe ọ̀rẹ́ ẹranko,A child is not a friend to a wild animal,Safety and caution,Ifa Priestess Alake,community_reviewed
