contraindications,dosage,id,labels,local_names,medicinal_uses,philosophy_embodied,preparation,regions,related_healing_practice,scientific_name,spiritual_use
Pregnancy|epilepsy|kidney disease,,339,Plant,,,,Decoction|infusion|steam inhalation|poultice,,,Artemisia afra,
Pregnancy|intestinal obstruction|kidney disease,,340,Plant,,,,Fresh gel topical|juice internal use|powder,,,Aloe ferox,
Pregnancy (high doses)|blood thinners interaction,,341,Plant,,,,Leaf powder|fresh leaves|tea|oil extraction,,,Moringa oleifera,
Pregnancy|fertility attempts|children,,342,Plant,,,,Leaf decoction|bark tea|oil application|tooth sticks,,,Azadirachta indica,
Pregnancy|transplant patients|immunosuppressants,,343,Plant,,,,Tea|tincture|capsules,,,Sutherlandia frutescens,
Pregnancy|liver disease|bleeding disorders,,344,Plant,,,,Root extract|tincture|syrup,,,Pelargonium sidoides,
Pregnancy|diabetes|heart conditions|liver disease,,345,Plant,,,,Raw plant|powder|extract,,,Hoodia gordonii,
Pregnancy|kidney disease|liver disease,,346,Plant,,,,Tea|tincture|oil,,,Buchu,
None known (very safe),,347,Plant,,,,Tea infusion|topical application,,,Rooibos,
Pregnancy|gallstones|peptic ulcers|diabetes meds,,348,Plant,,,,Root tea|capsules|tincture,,,Devil's Claw,
Over-harvesting concern|pregnancy caution,,349,Plant,,,,Bark decoction|powder|chewing sticks,,,Warburgia salutaris,
Internal fruit consumption toxic (except prepared),,350,Plant,,,,Fruit extract|bark decoction|topical application,,,Kigelia africana,
Pregnancy|liver disease|surgery interactions,,351,Plant,,,,Bark decoction|extract|capsules,,,Prunus africana,
Pregnancy|excess doses,,352,Plant,,,,Bark/root decoction|leaf tea,,,Combretum imberbe,
Pregnancy|peptic ulcers|gallstones|heart meds,,353,Plant,,,,Root tea|capsules|tincture,,,Harpagophytum procumbens,
Pregnancy|iron overload|liver disease,,354,Plant,,,,Corm powder|tea|capsules,,,Hypoxis hemerocallidea,
Pregnancy|kidney/liver disease,,355,Plant,,,,Leaf tea|tincture|oil,,,Agathosma betulina,
Pregnancy|SSRI interaction|heart conditions,,356,Plant,,,,Chewing|tea|tincture|powder,,,Sceletium tortuosum,
Pregnancy|psychosis|schizophrenia|heart disease|young people,,357,Plant,,,,Smoking|tea|oil|topical,,,Cannabis sativa,
Direct plant toxic|pregnancy|liver disease,,358,Plant,,,,Tea (caution)|pharmaceutical extracts only,,,Catharanthus roseus,
Pregnancy|low blood pressure|depression|ulcers,,359,Plant,,,,Root decoction|bark preparation,,,Rauvolfia vomitoria,
Cardiac issues|pregnancy|powerful alkaloids,,360,Plant,,,,Bark/seed preparation (caution)|traditional use limited,,,Voacanga africana,
Cardiac disease|pregnancy|many medications|seizures|must screen,,361,Plant,,,,Root bark preparation (ceremonial only)|pharmaceutical extracts,,,Tabernanthe iboga,
None known (very safe),,362,Plant,,,,Gum dissolved in water|powder,,,Acacia senegal,
Low blood pressure caution|pregnancy high doses,,363,Plant,,,,Flower tea (hot or cold)|infusion,,,Hibiscus sabdariffa,
Pregnancy|excessive doses (strong laxative),,364,Plant,,,,Bark/root decoction|leaf poultice,,,Cassia sieberiana,
Highly toxic seeds|cardiac glycosides|pregnancy|self-use dangerous,,365,Plant,,,,Pharmaceutical extraction only (seeds very toxic),,,Strophanthus gratus,
Pregnancy|large doses,,366,Plant,,,,Root decoction|bark tea|topical application,,,Securidaca longipedunculata,
Pregnancy|constipation,,367,Plant,,,,Leaf decoction|bark tea|topical leaf application,,,Combretum molle,
None significant,,368,Plant,,,,Bark decoction|leaf tea|topical application,,,Ziziphus mucronata,
Pregnancy caution,,369,Plant,,,,Bark/root decoction|leaf poultice,,,Bridelia micrantha,
Pregnancy|epilepsy|kidney disease,1 cup tea 3x daily|steam inhalation 2x daily,993,Plant:SoulLayer,African wormwood|Umhlonyane (Zulu)|Lengana (Sotho),Malaria|fever|cough|digestive disorders|respiratory infections,Ma'at (natural antimalarial)|Ntu (vital force),Decoction|infusion|steam inhalation|poultice,Southern Africa East Africa,Traditional herbalism|smoke inhalation,Artemisia afra,Spiritual cleansing smoke|protective fumigation
Pregnancy|intestinal obstruction|kidney disease,Topical as needed|juice 50ml daily,994,Plant:SoulLayer,Cape aloe|Bitter aloe|Umhlaba (Xhosa),Wounds|burns|skin conditions|digestive issues|laxative,Ma'at (healing balance)|skin restoration,Fresh gel topical|juice internal use|powder,Southern Africa,Herbalism|wound care,Aloe ferox,Protective planting|spiritual blessing
Pregnancy (high doses)|blood thinners interaction,1-2 teaspoons powder daily|fresh leaves in food,995,Plant:SoulLayer,Moringa|Drumstick tree|Zogale (Hausa)|Mlonge (Swahili),Malnutrition|anemia|inflammation|diabetes|high blood pressure,Ntu (vital force restoration)|complete nutrition,Leaf powder|fresh leaves|tea|oil extraction,West Africa East Africa,Traditional herbalism|nutrition therapy,Moringa oleifera,Blessing tree|protective planting
Pregnancy|fertility attempts|children,Tea 2-3x daily|oil topical|tooth stick daily,996,Plant:SoulLayer,Neem|Dogonyaro (Yoruba)|Mwarobaini (Swahili),Malaria|skin diseases|dental care|diabetes|immune boost,Ma'at (balance)|natural pharmacy,Leaf decoction|bark tea|oil application|tooth sticks,West Africa East Africa,Herbalism|dental care|spiritual bathing,Azadirachta indica,Protective planting|spiritual cleansing
Pregnancy|transplant patients|immunosuppressants,1-2 cups tea daily|300-800mg capsules,997,Plant:SoulLayer,Cancer bush|Kankerbos|Unwele (Xhosa),Cancer support|immune boost|diabetes|stress|TB support,Ubuntu (community healing)|hope medicine,Tea|tincture|capsules,Southern Africa,Traditional herbalism|spiritual healing,Sutherlandia frutescens,Prayer blessing|spiritual strength
Pregnancy|liver disease|bleeding disorders,30 drops 3x daily|syrup per label,998,Plant:SoulLayer,African geranium|Umckaloabo (Zulu),Respiratory infections|bronchitis|sinusitis|TB,Ma'at (respiratory balance)|healing power,Root extract|tincture|syrup,Southern Africa,Herbalism|respiratory therapy,Pelargonium sidoides,Healing blessing|spiritual protection
Pregnancy|diabetes|heart conditions|liver disease,Small amounts|commercial extracts per label,999,Plant:SoulLayer,Hoodia|Ghaap (Afrikaans),Appetite suppression|thirst suppression|energy,San wisdom|survival medicine,Raw plant|powder|extract,Southern Africa,Fasting therapy|traditional herbalism,Hoodia gordonii,Sacred plant|spiritual fasting aid
Pregnancy|kidney disease|liver disease,1-2 cups tea daily|tincture per label,1000,Plant:SoulLayer,Bookoo|Boegoe,Urinary infections|kidney health|inflammation|digestive aid,Khoisan medicine|purification,Tea|tincture|oil,South Africa,Herbalism|ritual washing,Buchu,Spiritual cleansing|purification ritual
None known (very safe),Unlimited consumption safe,1001,Plant:SoulLayer,Red bush tea|Rooiboste,Antioxidant|skin conditions|digestive aid|infant colic|allergies,Ubuntu (communal wellness)|gentle healing,Tea infusion|topical application,South Africa,Herbalism|infant care|skin therapy,Rooibos,Blessing tea|spiritual refreshment
Pregnancy|gallstones|peptic ulcers|diabetes meds,1-2g dried root|400-600mg capsules 3x daily,1002,Plant:SoulLayer,Duiwelsklou|Windhoek|Grapple plant,Arthritis|pain relief|inflammation|digestive bitter,San healing wisdom|pain relief,Root tea|capsules|tincture,Southern Africa,Bone-setting|herbalism,Devil's Claw,Spiritual protection (name)|healing blessing
Over-harvesting concern|pregnancy caution,Small amounts (very powerful)|tea 1 cup 2x daily,1003,Plant:SoulLayer,Pepper-bark tree|Isibhaha (Zulu)|Mulongo (Shona),Malaria|chest infections|fever|stomach ailments|toothache,Powerful healing (endangered)|sacred medicine,Bark decoction|powder|chewing sticks,Southern Africa East Africa,Herbalism|dental care|fever treatment,Warburgia salutaris,Spiritual protection|powerful blessing
