odu_name,binary_code,odu_number,core_meaning,domain,priority_level,indicators,positive_actions,negative_actions,keywords
Ogbe,0,1,"Light, Clarity, Manifestation, Good Character",health,PREVENTIVE,high vitality|wellness metrics|preventive care|holistic health,maintain preventive care|regular health checks|wellness programs,investigate arrogance in care|check for neglected maintenance,vigilance|manifestation|good character|leadership|beginning
Ogbe,0,1,"Light, Clarity, Manifestation, Good Character",infrastructure,PREVENTIVE,strong foundation|source quality|structural integrity,inspect water sources|maintain foundations|ensure quality,check for neglected infrastructure|assess overconfidence in systems,vigilance|manifestation|good character|leadership|beginning
Oyeku,1111,2,"Darkness, Death, Endings, The Unknown",health,CRITICAL,disease outbreak|mortality spike|chronic conditions|contamination,deep cleansing protocols|prepare renewal systems|investigate hidden threats,emergency response|quarantine measures|contamination control,darkness|endings|death|mystery|closure|cleansing
Oyeku,1111,2,"Darkness, Death, Endings, The Unknown",infrastructure,CRITICAL,system failure|contamination detected|complete breakdown|dead zones,thorough system cleansing|prepare for renewal|investigate hidden contamination,emergency shutdown|contamination containment|system replacement,darkness|endings|death|mystery|closure|cleansing
Iwori,1001,3,"Fire, Transformation, Conflict, Identity",health,URGENT,inflammation|fever|acute conditions|immune response,transformative treatment|purification protocols,pause and assess|manage conflicts|prevent escalation,vitality|fire|transformation|conflict|individuation
Iwori,1001,3,"Fire, Transformation, Conflict, Identity",infrastructure,URGENT,disruption|conflict points|pressure buildup|system stress,transformative upgrades|stress relief,pause operations|manage conflicts|prevent system escalation,vitality|fire|transformation|conflict|individuation
Odi,110,4,"Blockage, Obstruction, Boundaries",health,HIGH,blockages|constipation|circulation issues|stagnation,clear blockages|restore flow|set healthy boundaries,emergency unblocking|circulation restoration,blockage|obstruction|boundaries|people-pleasing|weakness
Odi,110,4,"Blockage, Obstruction, Boundaries",infrastructure,HIGH,pipe blockages|flow obstruction|clogged systems,clear obstructions|restore flow|preventive cleaning,emergency pipe clearing|system shutdown prevention,blockage|obstruction|boundaries|people-pleasing|weakness
Irosun,11,5,"Healing, Medicine, Ancestral Connection",health,MODERATE,healing in progress|treatment response|recovery phase,apply healing measures|ancestral wisdom protocols|treat root causes,address clouded judgment|improve treatment effectiveness,healing|medicine|ancestral wisdom|emotional clarity
Irosun,11,5,"Healing, Medicine, Ancestral Connection",infrastructure,MODERATE,repair needed|restoration phase|treatment systems,apply repair measures|restore systems|purification protocols,address ineffective repairs|improve treatment systems,healing|medicine|ancestral wisdom|emotional clarity
