name,regions,purpose,methods,practitioners,related_plants,cultural_significance,related_philosophy,spiritual_component
Bone-Setting,West Africa (Nigeria Yoruba Hausa),Fracture treatment|joint dislocation|musculoskeletal injuries,Manual manipulation|herbal poultices|splinting|massage,"Bone-setters (ẹlẹgbogi in Yoruba)|Traditional healers",Shea butter|local herbs for inflammation|binding materials,"Recognized medical specialty|passed through families|apprenticeship training",Ubuntu (healing through community)|Orisa (divine healing power),Spiritual invocation|ancestral guidance|protective prayers
Ifá Divination,West Africa (Nigeria Benin Togo),Diagnosis through spiritual consultation|life guidance|illness causation,Opele chain casting|Ikin palm nuts|Odù interpretation|ritual prescriptions,Babalawos (Ifá priests)|initiated diviners,Kola nuts|palm wine|ritual plants|prescribed herbal remedies,"Central to Yoruba spirituality|medical diagnosis|spiritual guidance",Ifá corpus (256 Odù)|Orisa worship|Odinani,Complete spiritual system|Orisha invocation|ancestral communication
Sangoma Practice,Southern Africa (South Africa Zimbabwe Eswatini),Spiritual healing|ancestral communication|illness diagnosis|divination,Bone throwing|spirit possession|dream interpretation|herbal medicine|dance rituals,"Sangomas (diviners)|initiated through ancestral calling|ukuthwasa (initiation sickness)",Impepho (incense)|muti (medicine)|ubulawu (dream herbs)|cleansing plants,"Ancestral intermediaries|spiritual doctors|cultural preservers",Ubuntu (interconnected healing)|Ukama (relational medicine),Ancestral possession|spiritual communication|ritual trance
Traditional Herbalism,Pan-African,Disease treatment|prevention|health maintenance,Plant medicine preparation|decoctions|infusions|poultices|steam inhalation,Herbalists|medicine people|plant knowledge keepers,Artemisia (malaria)|Aloe (wounds)|Moringa (nutrition)|Neem (infections),Pharmacopoeia transmission|botanical knowledge|ecological relationship,Ma'at (natural balance)|Ntu (vital force),Plant spirits|prayer over medicine|spiritual potency
Cupping (Hijama),North Africa (Egypt Morocco) East Africa (Sudan),Blood letting|pain relief|detoxification,Cup placement|vacuum creation|bloodletting|scarification,Traditional practitioners|barbers|specialized healers,Olive oil|black seed oil|antiseptic herbs,Islamic medical tradition|humoral medicine|prophetic medicine,Ma'at (balance)|Tibb (Islamic medicine),Quranic verses|prophetic tradition|spiritual cleansing
Spirit Possession Healing,Central Africa West Africa,Mental illness treatment|spiritual imbalance|ancestral communication,Trance induction|drumming|dancing|spirit negotiation|ritual sacrifice,Spirit mediums|cult leaders|initiated healers,Ritual plants|hallucinogens|cleansing herbs|offerings,"Cultural psychiatry|community healing|spirit world interface",Vodun (spiritual forces)|Ntu (vital force),Spirit invocation|possession states|ritual transformation
Sweat Lodge Therapy,East Africa (Maasai Samburu),Purification|detoxification|spiritual cleansing,Steam bathing|herbal infusions|prayer|group ritual,Elders|spiritual leaders|community healers,Eucalyptus|medicinal leaves|aromatic plants,Purification ritual|communal healing|rites of passage,Harambee (collective healing)|Nia (purposeful cleansing),Prayer|spiritual purification|community blessing
Scarification Healing,Pan-African,Pain relief|local anesthesia|protective marking|identity marking,Skin cutting|herbal application|healing marking,Traditional healers|specialists|initiated practitioners,Antiseptic plants|pain relief herbs|healing salves,"Cultural identity|therapeutic intervention|protective medicine",Kuumba (creative healing)|Nommo (transformative marking),Spiritual protection|ancestral connection|identity marking
Fire Cupping,East Africa Ethiopia,Pain relief|respiratory treatment|spiritual cleansing,Fire vacuum creation|cup placement|bloodletting option,Traditional healers|spiritual practitioners,Eucalyptus oil|healing herbs|antiseptic plants,Ancient Ethiopian tradition|Coptic medical practice,Ma'at (balance restoration),Prayer|spiritual invocation|holy water blessing
Hydrotherapy,North Africa (Morocco Tunisia),Purification|skin treatment|relaxation|detoxification,Hammam bathing|steam rooms|massage|exfoliation,Hammam attendants|massage practitioners,Argan oil|black soap|rose water|orange blossom,"Public bathing culture|social healing|purification ritual",Cleanliness in Islam|communal wellbeing,Spiritual purification|prayer|ritual cleansing
Massage Therapy,Pan-African,Muscle pain|relaxation|circulation|infant care,Manual manipulation|oil application|rhythmic pressure|stretching,"Traditional midwives|healers|family elders",Shea butter|coconut oil|palm oil|herbal oils,Infant massage tradition|postpartum care|wellness practice,Ubuntu (caring through touch),Blessing through touch|life force activation
Dream Interpretation,Pan-African,Diagnosis|guidance|spiritual communication|warning systems,Dream recall|symbolic interpretation|ritual response|divination confirmation,"Diviners|elders|spiritually gifted individuals",Ubulawu (dream herbs in Southern Africa)|ritual plants,Ancestral communication|spiritual guidance|cultural psychology,Ancestral connection|spiritual insight,Dream as spirit realm|ancestral messages|prophetic revelation
Colon Cleansing,East Africa West Africa,Detoxification|digestive health|parasite treatment,Herbal purgatives|enemas|fasting|dietary protocols,Herbalists|traditional doctors,Castor oil plant|aloe|bitter herbs|cleansing plants,Preventive medicine|seasonal cleansing|health maintenance,Ma'at (internal balance)|health restoration,Prayer before cleansing|spiritual purification|bodily temple concept
Midwifery,Pan-African,Childbirth|maternal care|infant care|postpartum support,Traditional birth attendance|massage|positioning|herbal support,"Traditional birth attendants|elder women|experienced mothers",Oxytocic herbs|pain relief plants|postpartum recovery herbs,"Sacred knowledge|intergenerational transmission|community health",Ubuntu (community birth)|women's wisdom,Ancestral blessing|spiritual protection|birth prayers
Spiritual Bathing,Pan-African,Spiritual cleansing|protection|blessing|curse removal,Herbal bath preparation|ritual washing|prayer|symbolic cleansing,"Spiritual healers|priests|initiated practitioners",Purification plants|protective herbs|blessing leaves,Ritual purification|spiritual hygiene|protection medicine,Spiritual cleanliness|divine connection,Prayer during bathing|spiritual invocation|protective rituals
Ear Candling,North Africa,Ear cleaning|spiritual cleansing|wax removal,Hollow candle insertion|burning|vacuum creation,Traditional practitioners|specialized healers,Beeswax|herbal infusions|cotton,Ancient practice|spiritual significance,Balance restoration,Spiritual cleansing|prayer|protective blessing
Tongue Scraping,East Africa (Ethiopia),Oral hygiene|detoxification|disease prevention,Metal scraper use|tongue cleaning|oral examination,Traditional practitioners|family practice,Neem|salt|herbal rinses,Morning cleansing ritual|health maintenance,Bodily purification|health consciousness,Morning prayer|cleanliness blessing|purification ritual
Smoke Inhalation,Pan-African,Respiratory treatment|spiritual cleansing|fumigation,Medicinal smoke inhalation|burning herbs|fumigation,Herbalists|spiritual practitioners,Impepho (Southern Africa)|frankincense|myrrh|medicinal plants,"Spiritual cleansing|respiratory medicine|protective fumigation",Purification through elements|spiritual hygiene,Prayer smoke|spiritual protection|cleansing ritual
Ritual Sacrifice,Pan-African,Spiritual healing|community cleansing|ancestral appeasement,Animal sacrifice|blood offering|ritual feast|communal eating,"Priests|spiritual leaders|ritual specialists",Ritual plants|cleansing herbs|blessing leaves,Communal healing|spiritual transaction|crisis intervention,Spiritual exchange|cosmic balance,Ancestral communion|spirit appeasement|divine communication
Ear Piercing,Pan-African,Acupressure points|cultural marking|therapeutic benefit,Ear lobe piercing|specific point targeting|metal insertion,Traditional practitioners|elders|specialists,Antiseptic plants|healing herbs,Cultural identity|therapeutic acupressure|coming of age,Kuumba (creative healing)|cultural marking,Spiritual protection|identity blessing|rite passage
Teeth Modification,East Africa (specific ethnic groups),Beauty|identity|maturity marking|therapeutic claims,Tooth sharpening|gap creation|extraction,Traditional specialists|elders,Antiseptic plants|pain relief herbs|healing applications,Cultural identity|beauty standards|rite of passage,Cultural identity|aesthetic philosophy,Transformation ritual|maturity blessing|identity ceremony
Cord Blood Preservation,Pan-African,Infant protection|spiritual connection|medical emergency,Umbilical cord preservation|placenta burial|spiritual ritual,"Traditional midwives|family elders",Preservation herbs|protective plants,Spiritual connection|life force preservation|protection,Ntu (vital force preservation)|spiritual connection,Ancestral connection|spiritual protection|life essence preservation
Dance Healing,Pan-African,Mental health|spiritual expression|community cohesion|trance induction,Rhythmic movement|drumming|communal dancing|possession facilitation,"Dance therapists|spiritual leaders|community",Stimulating plants|ritual herbs,Emotional release|spiritual communication|community healing,Ubuntu (communal healing)|Nommo (transformative movement),Trance states|spiritual possession|ancestral communion
Music Healing,Pan-African,Mental health|spiritual healing|community bonding,Drumming|singing|chanting|rhythmic therapy,"Musicians|spiritual leaders|community",Ritual plants|consciousness-altering herbs,Therapeutic rhythm|spiritual communication|emotional expression,Nommo (power of sound)|spiritual vibration,Trance induction|spiritual invocation|healing vibrations
Fasting Therapy,Pan-African (especially Islamic regions),Spiritual purification|detoxification|discipline|healing,Food abstention|water fasting|spiritual focus,Religious leaders|spiritual guides,Breaking fast herbs|gentle foods|digestive aids,Spiritual discipline|health reset|communal practice,Spiritual purification|bodily discipline,Prayer focus|spiritual clarity|divine connection
Ritual Washing,Pan-African,Spiritual cleansing|protection|preparation,Water ablution|herbal washing|ritual purification,"Priests|spiritual leaders|family elders",Purification herbs|protective plants|blessing leaves,Life transitions|spiritual hygiene|protection,Spiritual cleanliness|ritual purity,Prayer during washing|spiritual invocation|protective blessing
Laying On of Hands,Pan-African (Christian communities),Faith healing|spiritual blessing|disease treatment,Prayer with physical touch|blessing|spiritual transfer,"Faith healers|pastors|prayer warriors",Anointing oils|blessed water,Faith-based healing|spiritual power transfer,Christian faith|spiritual power,Holy Spirit invocation|prayer|spiritual healing
Aromatherapy,North Africa East Africa,Relaxation|respiratory health|spiritual cleansing,Essential oils|incense burning|aromatic plants,"Herbalists|spiritual practitioners|family practice",Frankincense|myrrh|rose|lavender|eucalyptus,Ancient trade goods|spiritual significance|medicinal use,Balance restoration|sensory healing,Prayer with incense|spiritual purification|meditation enhancement
