associated_governance,core_principle,ethical_guidance,id,labels,manifestation,name,origin_country,origin_region,related_proverbs
,I am because we are - collective humanity and interdependence,Act with compassion; prioritize community wellbeing; seek consensus,256,Philosophy,Community care|restorative justice|collective decision-making,,,,
,Interconnectedness of all things - web of relationships,Honor all relationships; recognize interdependence; maintain balance,257,Philosophy,Extended family systems|communal land ownership|mutual obligation,,,,
,Familyhood and collective cooperation - African socialism,Share resources; work collectively; build communal prosperity,258,Philosophy,Cooperative economics|collective farming|shared resources,,,,
,Learn from the past to build the future - historical wisdom,Honor ancestors; learn from history; carry wisdom forward,259,Philosophy,Cultural preservation|intergenerational knowledge transfer|ancestor veneration,,,,
,Truth|balance|order|harmony|justice - cosmic equilibrium,Speak truth; maintain balance; act with justice; honor divine order,260,Philosophy,Fair judgment|balanced governance|truthful speech|righteous action,,,,
,Vital force present in all beings - life energy,Increase life force; connect with ancestors; honor spiritual energy,261,Philosophy,Spiritual interconnection|vitality transfer|ancestral power flow,,,,
,Personhood and moral integrity - becoming fully human,Build good character; act with integrity; respect others,262,Philosophy,Character development|moral education|community accountability,,,,
,People first - service to community above self,Put people first; serve community; lead with humility,263,Philosophy,Public service|community welfare|servant leadership,,,,
,Pulling together - collective self-help and mutual assistance,Work together; help each other; build collectively,264,Philosophy,Community projects|cooperative labor|mutual aid,,,,
,Extended familyhood - beyond blood relations,Welcome strangers; share resources; extend family bonds,265,Philosophy,Communal living|hospitality|mutual support,,,,
,Purpose and collective vocation - community mission,Define purpose; work toward collective goals; serve community vision,266,Philosophy,Goal-setting|collective planning|purposeful action,,,,
,Self-determination and autonomy - defining oneself,Define yourself; determine your path; claim autonomy,267,Philosophy,Cultural identity|self-naming|autonomous governance,,,,
,Unity and togetherness - collective solidarity,Unite for common cause; build solidarity; work together,268,Philosophy,Pan-African solidarity|unified action|common cause,,,,
,Collective work and responsibility - shared burden,Share burdens; work together; take collective responsibility,269,Philosophy,Community projects|mutual responsibility|collective labor,,,,
,Community purpose - collective vision and goals,Align individual goals with community; serve collective vision,270,Philosophy,Village planning|community development|shared objectives,,,,
,Generative power of the word - creative speech,Speak with care; honor your word; create through speech,271,Philosophy,Oral tradition|verbal contracts|spoken agreements,,,,
,Cosmic justice and balance - universal order,Maintain cosmic order; judge fairly; seek truth,272,Philosophy,Temple law|judicial balance|cosmic alignment,,,,
,Creativity and innovation - building legacy,Create beauty; innovate solutions; leave legacy,273,Philosophy,Artistic creation|innovation|cultural production,,,,
,Faith in community - belief in collective potential,Have faith in people; believe in community; trust collective wisdom,274,Philosophy,Collective confidence|spiritual grounding|community trust,,,,
,Priority of community over individual - collective wellbeing,Prioritize community; share resources; decide collectively,275,Philosophy,Shared ownership|collective decision-making|community priority,,,,
