odu_number,binary_pattern,name_yoruba,name_english,interpretation,ritual_context,symbolic_meaning,divination_use,related_themes
0,00000000,Eji Ogbe,Double Light,Foundation and pure beginnings - divine order manifesting,New moon ceremonies,Purity and infinite potential,Questions of origin and destiny,creation|order|divinity
1,00000001,Ogbe-Oyeku,Light Meets Darkness,Transformation through duality - birth and death cycle,Eclipse rituals,Change and necessary transition,Life transitions and mortality,duality|transformation|cycles
2,00000010,Ogbe-Iwori,Light Tests Path,Challenges revealing character - obstacles as teachers,Initiation rites,Strength through adversity,Overcoming difficulties,testing|growth|character
3,00000011,Ogbe-Odi,Light In Conflict,Struggle between opposing forces - choosing sides,Dispute resolution,Conflict and choice,Disputes and decisions,conflict|choice|balance
4,00000100,Ogbe-Irosun,Light Awakens Earth,Manifestation of divine will on earthly plane,Harvest festivals,Divine will made manifest,Material success questions,manifestation|abundance|will
5,00000101,Ogbe-Owonrin,Light Faces Chaos,Order confronting entropy - structure vs randomness,Storm preparation,Chaos and uncertainty,Unpredictable situations,chaos|uncertainty|adaptation
6,00000110,Ogbe-Obara,Light Transforms,Metamorphosis and rebirth - shedding old forms,Coming-of-age ceremonies,Transformation and renewal,Personal evolution,transformation|renewal|growth
7,00000111,Ogbe-Okonron,Light Brings Fortune,Abundance through right action - karmic rewards,Blessing ceremonies,Good fortune and prosperity,Wealth and success inquiries,prosperity|karma|reward
8,00001000,Oyeku-Ogbe,Darkness Seeks Light,Movement from ignorance to wisdom,Dawn ceremonies,Enlightenment journey,Seeking knowledge,ignorance|wisdom|seeking
9,00001001,Oyeku-Meji,Double Darkness,Deep mysteries and the unknown - ancestral realm,Ancestral veneration,Mystery and the occult,Communication with dead,mystery|ancestors|occult
10,00001010,Oyeku-Iwori,Darkness On Path,Hidden obstacles - what cannot yet be seen,Divination for dangers,Hidden threats,Uncovering hidden issues,hidden|danger|revelation
11,00001011,Oyeku-Odi,Darkness In Strife,Internal conflict - battling inner demons,Spiritual warfare,Internal struggle,Psychological challenges,internal|conflict|demons
12,00001100,Oyeku-Irosun,Darkness Grounds,Manifestation of hidden things - secrets revealed,Truth ceremonies,Revelation of secrets,Uncovering truth,secrets|revelation|truth
13,00001101,Oyeku-Owonrin,Darkness Churns,Confusion and disorientation - loss of bearings,Protection rituals,Confusion and misdirection,Unclear situations,confusion|misdirection|protection
14,00001110,Oyeku-Obara,Darkness Changes Form,Transformation in the unseen realm,Shadow work,Occult transformation,Deep spiritual change,shadow|occult|transformation
15,00001111,Oyeku-Okonron,Darkness Conceals Wealth,Hidden resources - treasures in shadow,Treasure seeking,Hidden abundance,Finding hidden resources,hidden|resources|treasure
16,00010000,Iwori-Ogbe,Path To Light,Journey toward understanding and clarity,Pilgrimage,Quest for enlightenment,Spiritual journey questions,journey|quest|enlightenment
17,00010001,Iwori-Oyeku,Path Through Shadow,Dangerous journey - navigating peril,Protection during travel,Perilous journey,Travel and danger,danger|travel|protection
18,00010010,Iwori-Meji,Double Path,Choices and crossroads - fork in the road,Decision ceremonies,Critical choice point,Major life decisions,choice|crossroads|decision
19,00010011,Iwori-Odi,Path Of Conflict,Journey through strife - warrior's road,Warrior initiation,Combative path,Martial challenges,warrior|combat|strife
20,00010100,Iwori-Irosun,Path Of Manifestation,Journey to material success - effort rewarded,Trade journeys,Productive journey,Career and work path,career|effort|success
21,00010101,Iwori-Owonrin,Path Of Chaos,Unpredictable journey - expect the unexpected,Chaos navigation,Uncertain path,Unpredictable situations,chaos|uncertainty|adaptation
22,00010110,Iwori-Obara,Path Of Change,Journey of transformation - becoming,Rites of passage,Transformative journey,Personal evolution path,transformation|passage|becoming
23,00010111,Iwori-Okonron,Path Of Fortune,Lucky journey - favorable winds,Blessing travels,Fortunate path,Profitable ventures,fortune|luck|profit
24,00011000,Odi-Ogbe,Conflict Seeks Resolution,Strife moving toward peace,Peace ceremonies,Conflict resolution,Ending disputes,peace|resolution|ending
25,00011001,Odi-Oyeku,Conflict In Darkness,Hidden warfare - unseen battles,Spiritual protection,Occult conflict,Hidden enemies,hidden|enemies|warfare
26,00011010,Odi-Iwori,Conflict On Path,Obstacles blocking progress,Obstacle removal,Barriers and blocks,Removing impediments,obstacles|barriers|removal
27,00011011,Odi-Meji,Double Conflict,Intense struggle - war on all sides,Battle preparation,Total war,Overwhelming conflict,war|struggle|intensity
28,00011100,Odi-Irosun,Conflict Over Resources,争夺物质 - competition for wealth,Resource disputes,Material competition,Property disputes,competition|resources|property
29,00011101,Odi-Owonrin,Chaotic Conflict,Unpredictable warfare - no rules,Chaos warfare,Anarchic strife,Lawless situations,anarchy|chaos|lawlessness
30,00011110,Odi-Obara,Transformative Conflict,Struggle that changes everything,Revolutionary rites,Revolutionary change,Major upheaval,revolution|upheaval|change
31,00011111,Odi-Okonron,Profitable Conflict,Gains through struggle - victory spoils,Victory ceremonies,Victorious conflict,Winning disputes,victory|gains|winning
32,00100000,Irosun-Ogbe,Earth Receives Light,Divine blessing on material plane,Agricultural rites,Divine material blessing,Prosperity questions,blessing|prosperity|divine
33,00100001,Irosun-Oyeku,Earth In Shadow,Material loss - resources diminishing,Famine preparation,Material decline,Financial difficulties,loss|decline|famine
34,00100010,Irosun-Iwori,Earth On Path,Material journey - physical travel,Trade routes,Material journey,Business travel,trade|business|travel
35,00100011,Irosun-Odi,Earth In Conflict,Property disputes - land battles,Land disputes,Territorial conflict,Property rights,property|land|territory
36,00100100,Irosun-Meji,Double Earth,Abundance and fertility - harvest time,Harvest festivals,Material abundance,Wealth accumulation,abundance|fertility|wealth
