name,country,region,decision_method,authority_source,dispute_resolution,conflict_transformation,strengths,weaknesses,modern_relevance
Gacaca Courts,Rwanda,East Africa,Community judgment|public confession|collective deliberation,Community elders|survivor testimony|collective memory,Public truth-telling|restitution|community service|reconciliation,"Genocide aftermath healing (post-1994)|community-based justice|victim participation",Face-to-face justice|cost-effective|community healing|restorative focus,Potential for mob justice|emotional re-traumatization|unequal power dynamics,Post-conflict justice|transitional justice|community reconciliation
Ubuntu Councils,South Africa,Southern Africa,Consensus through dialogue|collective wisdom|restorative approach,Community elders|collective voice|shared humanity,Dialogue circles|restorative justice|community reintegration,"Apartheid-era resistance|Truth and Reconciliation Commission model",Community ownership|relationship restoration|inclusive participation,Time-intensive|requires community cohesion|modern legal system tension,Restorative justice|community policing|conflict mediation
Age-Grade Systems,Nigeria (Igbo),West Africa,Peer cohort governance|collective responsibility|graduated authority,Age-based cohorts|elder guidance|generational wisdom,Peer pressure|age-mate arbitration|community sanctions,"Egalitarian decision-making|distributed leadership|social cohesion",Social cohesion|distributed power|peer accountability,Gender exclusion|rigid age hierarchies|urbanization challenges,Youth empowerment|peer mediation|civic responsibility
Clan Assemblies,Kenya (various),East Africa,Clan-based gathering|elder deliberation|consensus building,Clan elders|ancestral authority|kinship networks,Family mediation|clan arbitration|elder judgment,"Land disputes|marriage conflicts|inheritance issues",Kinship-based legitimacy|cultural continuity|accessible justice,Patriarchal bias|exclusion of outsiders|limited gender representation,Family mediation|land dispute resolution|cultural preservation
Council of Elders,Pan-African,Pan-African,Elder wisdom|deliberative council|consensual authority,Elder knowledge|life experience|ancestral connection,Elder mediation|wisdom application|moral guidance,"Widespread across Africa|village governance|dispute resolution",Wisdom-based authority|cultural legitimacy|moral grounding,Gerontocracy|slow adaptation|gender imbalance,Community advisory|cultural guidance|moral authority
Inkosi System,Southern Africa (Zulu),Southern Africa,Chieftaincy with council|hierarchical authority|customary law,Royal lineage|ancestral mandate|customary tradition,Royal judgment|council advice|customary law application,"Pre-colonial kingdoms|Shaka Zulu era|contemporary chieftaincy",Clear authority|cultural continuity|swift decisions,Authoritarian potential|hereditary bias|gender exclusion,Traditional leadership|customary law courts|cultural governance
Dare Council,Zimbabwe,Southern Africa,Circular seating|all voices heard|consensus seeking,Community consensus|elder facilitation|collective voice,Public deliberation|consensus building|community accountability,"Village governance|dispute resolution|community decision-making",Participatory democracy|transparent process|community ownership,Time-consuming|requires attendance|limited enforceability,Community forums|participatory budgeting|local governance
Palaver Trees,West Africa,West Africa,Extended dialogue under sacred tree|exhaustive discussion|unanimous consent,Sacred space|elder moderation|community presence,Talk until resolution|no one leaves until agreement|public witnessing,"Historic trade negotiations|village disputes|inter-tribal diplomacy",Thorough deliberation|sacred space|community witnessing,Extremely time-consuming|requires physical gathering|male-dominated,Conflict mediation|peace negotiations|community dialogue
Ofo Title Society,Nigeria (Igbo),West Africa,Title holders gather|ofo staff symbolizes authority|judicial decisions,Title acquisition|ritual authority|ancestral connection,Ofo oath|spiritual sanctions|community judgment,"Land disputes|serious crimes|inter-village conflicts",Spiritual enforcement|community respect|cultural legitimacy,Exclusivity|cost of title|spiritual coercion concerns,Traditional courts|land tribunals|cultural adjudication
Ashanti Golden Stool,Ghana,West Africa,Stool represents nation soul|king as custodian|council advises,Sacred stool|royal authority|ancestral spirits,Royal judgment|council deliberation|spiritual consultation,"Ashanti kingdom|British colonial resistance|contemporary Ashanti governance",Spiritual legitimacy|cultural unity|historical continuity,Hereditary monarchy|spiritual coercion|limited representation,Cultural leadership|symbolic authority|traditional governance
