name,origin_country,origin_region,core_principle,manifestation,ethical_guidance,related_proverbs,associated_governance
Ubuntu,South Africa,Southern Africa,"I am because we are - collective humanity and interdependence",Community care|restorative justice|collective decision-making,"Act with compassion; prioritize community wellbeing; seek consensus","Umuntu ngumuntu ngabantu (A person is a person through other people)",Ubuntu councils|Community courts
Ukama,Zimbabwe,Southern Africa,"Interconnectedness of all things - web of relationships",Extended family systems|communal land ownership|mutual obligation,"Honor all relationships; recognize interdependence; maintain balance","Ukama igasva hunozadziswa nekudya (Kinship is never complete without sharing food)",Dare council|Clan assemblies
Ujamaa,Tanzania,East Africa,"Familyhood and collective cooperation - African socialism",Cooperative economics|collective farming|shared resources,"Share resources; work collectively; build communal prosperity","Haba na haba hujaza kibaba (Little by little fills the measure)",Village cooperatives|Collective councils
Sankofa,Ghana,West Africa,"Learn from the past to build the future - historical wisdom",Cultural preservation|intergenerational knowledge transfer|ancestor veneration,"Honor ancestors; learn from history; carry wisdom forward","Se wo were fi na wosankofa a yenkyi (It is not taboo to go back and fetch what you forgot)",Council of Elders|Traditional authorities
Ma'at,Egypt,North Africa,"Truth|balance|order|harmony|justice - cosmic equilibrium",Fair judgment|balanced governance|truthful speech|righteous action,"Speak truth; maintain balance; act with justice; honor divine order","The heart must be lighter than the feather of Ma'at",Pharaonic courts|Priestly councils
Ntu,Central Africa,Central Africa,"Vital force present in all beings - life energy",Spiritual interconnection|vitality transfer|ancestral power flow,"Increase life force; connect with ancestors; honor spiritual energy","Muntu ke muntu ka batho (A person is a person through people)",Ancestral councils|Spirit mediums
Hunhu/Unhu,Zimbabwe,Southern Africa,"Personhood and moral integrity - becoming fully human",Character development|moral education|community accountability,"Build good character; act with integrity; respect others","Munhu munhu nevanhu (A person is a person through others)",Traditional courts|Moral councils
Batho Pele,South Africa,Southern Africa,"People first - service to community above self",Public service|community welfare|servant leadership,"Put people first; serve community; lead with humility",Umntu akalahlwa (A person is not thrown away),Service councils|Community forums
Harambee,Kenya,East Africa,"Pulling together - collective self-help and mutual assistance",Community projects|cooperative labor|mutual aid,"Work together; help each other; build collectively","Watu wawili wanapopigana ziumiazo ni nyasi (When two elephants fight the grass suffers)",Age-grade systems|Community committees
Ujaama,East Africa (Swahili),East Africa,"Extended familyhood - beyond blood relations",Communal living|hospitality|mutual support,"Welcome strangers; share resources; extend family bonds","Mgeni njoo mwenyeji apone (Welcome the guest so the host may prosper)",Clan councils|Community elders
Nia,Pan-African (Kwanzaa),Pan-African,"Purpose and collective vocation - community mission",Goal-setting|collective planning|purposeful action,"Define purpose; work toward collective goals; serve community vision","Kazi bila nia ni mauti (Work without purpose is death)",Purpose councils|Planning committees
Kujichagulia,Pan-African (Kwanzaa),Pan-African,"Self-determination and autonomy - defining oneself",Cultural identity|self-naming|autonomous governance,"Define yourself; determine your path; claim autonomy","Jina lako ni mali yako (Your name is your wealth)",Self-governance bodies|Cultural councils
Umoja,Pan-African (Kwanzaa),Pan-African,"Unity and togetherness - collective solidarity",Pan-African solidarity|unified action|common cause,"Unite for common cause; build solidarity; work together","Umoja ni nguvu utengano ni udhaifu (Unity is strength division is weakness)",Unity councils|Pan-African forums
Ujima,Pan-African (Kwanzaa),Pan-African,"Collective work and responsibility - shared burden",Community projects|mutual responsibility|collective labor,"Share burdens; work together; take collective responsibility","Haba na haba hujaza kibaba (Little by little fills the measure)",Work committees|Community projects
Nia ya Jamii,East Africa,East Africa,"Community purpose - collective vision and goals",Village planning|community development|shared objectives,"Align individual goals with community; serve collective vision","Kidole kimoja hakivunji chawa (One finger cannot crush a louse)",Planning councils|Development committees
Nommo,West Africa (Dogon),West Africa,"Generative power of the word - creative speech",Oral tradition|verbal contracts|spoken agreements,"Speak with care; honor your word; create through speech","Neno ni fedha kimya ni dhahabu (Speech is silver silence is golden)",Speaking councils|Verbal tribunals
Maat,Ancient Egypt,North Africa,"Cosmic justice and balance - universal order",Temple law|judicial balance|cosmic alignment,"Maintain cosmic order; judge fairly; seek truth","Ma'at is the food of the gods",Temple courts|Divine councils
Kuumba,Pan-African (Kwanzaa),Pan-African,"Creativity and innovation - building legacy",Artistic creation|innovation|cultural production,"Create beauty; innovate solutions; leave legacy","Mti ukigwa huegemea mti (When a tree falls it leans on another)",Creative councils|Innovation forums
Imani,Pan-African (Kwanzaa),Pan-African,"Faith in community - belief in collective potential",Collective confidence|spiritual grounding|community trust,"Have faith in people; believe in community; trust collective wisdom","Imani ni utajiri (Faith is wealth)",Faith councils|Spiritual forums
Communalism,Pan-African,Pan-African,"Priority of community over individual - collective wellbeing",Shared ownership|collective decision-making|community priority,"Prioritize community; share resources; decide collectively","Moja kwa moja ni riziki ya Mungu (One by one is God's provision)",Community councils|Collective bodies
Palaver,West Africa,West Africa,"Extended dialogue and consensus - thorough discussion",Palaver trees|extended debate|consensus-building,"Discuss thoroughly; seek consensus; hear all voices","Ndege hapo mku wa mwenzake (A bird does not drink where another bird is drinking)",Palaver councils|Discussion forums
Mojo,West Africa,West Africa,"Spiritual power and influence - sacred energy",Spiritual objects|power concentration|energy manipulation,"Use power wisely; honor spiritual forces; channel energy","Nguvu ya mungu (Power of God)",Spiritual councils|Power keepers
Ashanti Stool,Ghana,West Africa,"Sacred authority and ancestral connection - throne of power",Stool ceremonies|ancestral authority|royal lineage,"Honor ancestors; respect authority; maintain tradition","Akoma ntoaso (Joined hearts)",Stool councils|Royal courts
Mawu-Lisa,West Africa (Fon),West Africa,"Divine duality - cosmic balance of opposites",Dual divinity|complementary opposites|cosmic balance,"Honor duality; seek balance; embrace complementarity","Mawu creates Lisa completes",Dual councils|Balance keepers
Odinani,Nigeria (Igbo),West Africa,"Divine order and natural law - cosmic harmony",Four market days|cosmic cycles|natural law,"Follow natural law; honor cycles; maintain harmony","Onye aghana nwanne ya (No one should forget their brother)",Ofo holders|Title societies
Orisa,Nigeria (Yoruba),West Africa,"Divine forces and spiritual principles - sacred powers",Orisha worship|spiritual forces|divine intermediaries,"Honor spiritual forces; worship properly; seek divine guidance","Orisa ko mo eni ti o ko (The Orisha does not know who did not worship)",Orisha councils|Priest councils
Vodun,West Africa (Fon/Ewe),West Africa,"Spiritual forces and divine mysteries - sacred power",Vodun worship|spiritual possession|divine communication,"Respect spiritual forces; honor mysteries; channel divinity","Vodun ma nya deka o (Vodun is not one)",Vodun councils|Priest bodies
