activation_protocol,associated_governance,audio_file,binary_pattern,bonded_to,capabilities,contraindications,core_principle,dispute_resolution,divination_use,dosage,endpoint_id,english,entity_id,essence,ethical_guidance,frequency,id,implementation_status,insignia,interpretation,labels,layer,local_names,manifestation,medicinal_uses,method,name,name_english,name_yoruba,odu_number,origin,origin_country,origin_region,philosophy_embodied,pos,preparation,rate_limit,region,regions,related_healing_practice,related_proverbs,related_themes,ritual_context,role,scientific_name,speaker,spiritual_component,spiritual_use,status,strengths,syllables,symbolic_meaning,title,tone_pattern,version,vows,word
,,,00000000,,,,,,Questions of origin and destiny,,,,,,,,654,,,Foundation and pure beginnings - divine order manifesting,OduIfa:SoulLayer,,,,,,,Double Light,Eji Ogbe,0,,,,,,,,,,,,"['creation', 'order', 'divinity']",New moon ceremonies,,,,,,,,,Purity and infinite potential,,,,,
,,,00000001,,,,,,Life transitions and mortality,,,,,,,,655,,,Transformation through duality - birth and death cycle,OduIfa:SoulLayer,,,,,,,Light Meets Darkness,Ogbe-Oyeku,1,,,,,,,,,,,,"['duality', 'transformation', 'cycles']",Eclipse rituals,,,,,,,,,Change and necessary transition,,,,,
,,,00000010,,,,,,Overcoming difficulties,,,,,,,,656,,,Challenges revealing character - obstacles as teachers,OduIfa:SoulLayer,,,,,,,Light Tests Path,Ogbe-Iwori,2,,,,,,,,,,,,"['testing', 'growth', 'character']",Initiation rites,,,,,,,,,Strength through adversity,,,,,
,,,00000011,,,,,,Disputes and decisions,,,,,,,,657,,,Struggle between opposing forces - choosing sides,OduIfa:SoulLayer,,,,,,,Light In Conflict,Ogbe-Odi,3,,,,,,,,,,,,"['conflict', 'choice', 'balance']",Dispute resolution,,,,,,,,,Conflict and choice,,,,,
,,,00000100,,,,,,Material success questions,,,,,,,,658,,,Manifestation of divine will on earthly plane,OduIfa:SoulLayer,,,,,,,Light Awakens Earth,Ogbe-Irosun,4,,,,,,,,,,,,"['manifestation', 'abundance', 'will']",Harvest festivals,,,,,,,,,Divine will made manifest,,,,,
,,,00000101,,,,,,Unpredictable situations,,,,,,,,659,,,Order confronting entropy - structure vs randomness,OduIfa:SoulLayer,,,,,,,Light Faces Chaos,Ogbe-Owonrin,5,,,,,,,,,,,,"['chaos', 'uncertainty', 'adaptation']",Storm preparation,,,,,,,,,Chaos and uncertainty,,,,,
,,,00000110,,,,,,Personal evolution,,,,,,,,660,,,Metamorphosis and rebirth - shedding old forms,OduIfa:SoulLayer,,,,,,,Light Transforms,Ogbe-Obara,6,,,,,,,,,,,,"['transformation', 'renewal', 'growth']",Coming-of-age ceremonies,,,,,,,,,Transformation and renewal,,,,,
,,,00000111,,,,,,Wealth and success inquiries,,,,,,,,661,,,Abundance through right action - karmic rewards,OduIfa:SoulLayer,,,,,,,Light Brings Fortune,Ogbe-Okonron,7,,,,,,,,,,,,"['prosperity', 'karma', 'reward']",Blessing ceremonies,,,,,,,,,Good fortune and prosperity,,,,,
,,,00001000,,,,,,Seeking knowledge,,,,,,,,662,,,Movement from ignorance to wisdom,OduIfa:SoulLayer,,,,,,,Darkness Seeks Light,Oyeku-Ogbe,8,,,,,,,,,,,,"['ignorance', 'wisdom', 'seeking']",Dawn ceremonies,,,,,,,,,Enlightenment journey,,,,,
,,,00001001,,,,,,Communication with dead,,,,,,,,663,,,Deep mysteries and the unknown - ancestral realm,OduIfa:SoulLayer,,,,,,,Double Darkness,Oyeku-Meji,9,,,,,,,,,,,,"['mystery', 'ancestors', 'occult']",Ancestral veneration,,,,,,,,,Mystery and the occult,,,,,
