id,age_years,primary_language,scenario_type,description,reasoning_process,peer_dynamics,cultural_tension,outcome,emotional_growth,location,symbolic_logic,wisdom_gained,neural_embedding,recorded_at
mostly56-dce4-4487-960c-46c0f56af6cf,13,Shona,innovation,scenario_language,S_years,recorded_growth,}embeddingc aes srip cesy.,emotional,critical_thinking,", ",", ",: ,Agrowthal-Titlysen ,2024-01-27 22:39:00
mostlyda-3d15-457d-b5fb-e2cf1ac9e387,16,Hausa,identity,"A, in myi with; a to int the malg ",: ,age-5,"001ers, ",,integrity,S_eltensiona.,: ,Friends}_at,adolescence,2024-04-28 23:30:00
mostlye9-bef7-4bdd-bd20-e4fe34619ce3,17,Zulu,creative,scenario_type,} {,Some_embedding,As with,description,creativity,He,scenario_type,",outcome",reasoning_language,2024-03-17 05:23:00
mostlyc6-2bc2-426c-a30a-81ba4e622829,18,Hausa,cultural,age__type,H{,symbolic_tension,"P,-.",{_type,leadership,Sheo in the in a school.,: ,} {,,2024-04-24 17:35:00
mostly67-441e-4f71-8879-235b61aeac82,15,Swahili,identity,primary,A,2024tension,: ,: ,independence,",-0.4,1.,1.,-0.269,0.2,0.459,0.1637925",peeryears,: ,", ",2024-06-19 03:14:00
mostly08-a682-4242-9c0d-f344decbe0d8,18,Igbo,innovation,ethical,A,",0.",O-02.,S ,independence, {,,"2025, ",", ",2024-07-18 01:21:00
mostly63-e140-47d7-895e-73560a4f477b,14,Hausa,entrepreneurial,Au in cting fores the d.,outcome,emotional,", ",He,integrity,primary_tension,emotional_,"Aarw,}.",outcome,2025-02-25 09:18:00
mostly5d-8e53-4ce0-a31f-a816f9c3a80f,14,Igbo,innovation,_at,M_years,ethical,-0.479569.,age_years,integrity,} ,reasoning_process,H,:  ,2024-10-23 23:18:00
mostlye1-73e5-4eee-93f6-79d6730d60d8,16,Zulu,entrepreneurial,{,: 17 ,} ,", ",age,leadership,wisdom,"2024, ",empathy,: ,2024-03-19 08:03:00
mostly27-ed2f-4b29-b072-11ccc5988723,13,Swahili,ethical,,",- {",emotional,"scenario_-T1type,-: :00",Hausa,resilience,", ",She0.047.,"independence, ",} ,2025-02-20 20:23:00
mostlye6-de91-4875-a05d-b557890c2dc9,18,Amharic,social,"P, ",primaryembedding,description,symbolic_at,", ",independence,peer_0embedding,cultural,:process,outcome,2024-12-06 04:23:00
mostlya4-c75f-4602-9d30-32ca6a8341dc,14,Igbo,cultural,adolescence,symbolic__growth,: ,"scenario,description",: ,resilience,", ",neuralgrowth,,scenario_growth,2024-11-23 03:09:00
mostly2c-876b-45d9-8cd9-2c52f389f27b,16,Hausa,identity,neural,wisdom_embedding,A s in,In,neural_gained,leadership,: ,", ",2024,leadershipneural,2024-11-22 15:40:00
mostlyc2-2c0a-4ca6-bb02-f6d48ec66434,16,Amharic,innovation,,Pl,", ",P,scenario_years,independence,outcome,"2024-,-030.62,026, {",She{ees bs toitg m.,recorded_,2024-06-12 07:15:00
mostlyc8-2e71-41b1-b452-3466697bcefa,17,Shona,academic,", ",", ",",_type",", ",", ",critical_thinking,,", ",-,primary,2024-03-07 21:58:00
mostly71-78a7-4973-8412-6af10ae2b6f8,14,Hausa,social,{,: {,: ,scenario_process,location,empathy,", ",}: {,", ",", ",2025-06-12 16:19:00
mostlyc4-caf9-4445-9408-a36169c2a61d,14,Hausa,entrepreneurial,E,wisdom,2024,S a.,peer_growth},independence,"If, ",reasoning ,", ",", ",2024-03-02 16:18:00
mostly11-abad-4127-91c6-dab98535c06a,13,Oromo,cultural,He_age,P,", ",emotional_years,outcome,leadership,:00outcome,emotionale ,recorded_gaineddynamics,", ",2024-03-21 23:14:00
mostly63-6300-4435-a927-7da58552ebcd,17,Shona,creative,If ,emotional ,", ",: ,", ",resilience,peer_dynamics,Hemcedeaesi.,peer_T,symbolic_tension,2025-01-22 14:16:00
mostly44-34b4-48a3-95f9-66ea0c6750fe,17,Zulu,identity,neural_logic,"scenario, , South",_growth,symbolic_at,", ",integrity,M_logic,primary_type,A ,Ther a ,2024-04-26 20:09:00
mostlydd-f0ef-4c5d-9470-d6492419801d,13,Shona,social,"EAates b a; lert theesar, aitalarr l.",Ai,", ",reasoning_process,,resilience,A to to in,primary_at,A,", ",2025-01-18 01:38:00
mostly09-2dad-4dcf-a47c-711a8c106099,17,Hausa,cultural,", ",A.,A ,culturalat: ,emotional_ a{,leadership,neural_embeddingate,ethical,neural_atyears,H{ sat to ande p ag.,2024-05-10 13:26:00
mostly73-45e3-4bec-9e2d-02492ad2f705,16,Swahili,entrepreneurial,scenario_gained,", ",peer_dynamics,Friendsm,_ ,leadership,}.,Hausa,A-; s foray aar a ink derses ap to.e;w.,emotional_tension,2024-05-20 13:16:00
mostly0d-58cf-4e0d-b2d6-47c12815ee53,17,Oromo,cultural,", ",recorded,", ","_-},0.1586,0.{8",emotionalemotional_years,critical_thinking,}at} a inatesre.,"He00.08,-.0267,-T1,70.8,040.7,, ",", ",,2024-10-15 11:45:00
mostly50-595b-4118-9ff6-338fe71cbd0c,13,Oromo,ethical,S_,If_tension,",growth",age in ,",, ",integrity,", ",: ,outcome,emotional_language,2024-03-24 15:30:00
mostlyeb-caba-4eb0-aebe-0eb3d9341291,17,Shona,cultural,,cultural,"}2} aingan ms inal and schoolal a,1.",O d ,A0esing so.,resilience,: ,"}He1it,1at; in: ",scenario_ ,,2024-05-15 23:32:00
mostlyfd-0497-48e9-9092-11e7214e8f49,16,Swahili,identity,In,", ",recorded_growth,,cultural_process,resilience,C_type,recorded ,C_language,She: ,2025-06-23 11:14:00
mostlyef-cf6c-47c7-b64b-d84761c87a55,13,Hausa,identity,{,: ,Cn._type,E: ,2025_dynamics,independence,wisdom_process,outcome_,,",at",2025-06-05 14:04:00
mostly42-3670-4ca9-a601-6e2ace1848f0,18,Amharic,innovation,", ",", ",recordedP,cultural_dynamics,,creativity,_yearslanguage,emotional_process.,reasoning_at,reasoning,2025-03-15 02:28:00
mostlyd8-7088-41fb-995b-30a94bfd8439,13,Oromo,identity,"0.4548,-,0.8,,0.05",recorded_at,: ,: ,peer_type,resilience,A.,2025,primary,recorded_thinkinger,2025-05-02 09:38:00
mostly8f-06ac-4e25-ac31-92fe518c9fcd,15,Yoruba,cultural,wisdom_,O, ,scenario_growth,symbolic_gained,critical_thinking,independence,"2024-0317-0.63,-0.4923,-. -4924,0.0.2716477,,0.",} _years,reasoning_embedding,2025-09-30 21:39:00
mostly37-dab2-453a-84f9-192a51569275,18,Zulu,identity,", ",location, ,symbolic_dynamics,Agrowthtsing a h c in.,leadership,Heeesal.,adolescence ,In.,primary_at,2025-08-11 17:57:00
mostly9e-6189-4b70-8bfe-84785f3f8a29,17,Zulu,innovation,"age,_growth",peer_tension,A ,emotional_at,: ,critical_thinking,2025{,He: ,,ethical_language,2025-01-14 05:08:00
mostly26-06ba-414d-926e-61ce6b1ade23,18,Yoruba,academic,Car,",_tension: ",He1ces we mly m a school; in,", ",outcome,leadership,"Aal maltp, ","M0.19, ",reasoning_gained,"E-003T,-0.074,,0.857.",2024-10-06 20:26:00
mostly83-a870-4cb7-b42e-39c59b9780cd,19,Shona,cultural,location,2024--1206,: ,age_logic,"Hausaage-f and b,_ C p",leadership,reasoning_gained,primary_ ,", ",wisdom_years,2024-10-12 21:28:00
mostly41-6614-4c62-853e-b09ff083b978,13,Igbo,cultural,",-0.",", ",", ",age_embedding,wisdom_type in,critical_thinking,", ",symbolic_tension,recorded_c0.,}: ,2024-11-16 07:20:00
mostly99-3bf2-4b66-827c-720c7647e1a3,17,Shona,academic,Some,} ,", ",: ,peer_language,critical_thinking,: ,neural_dynamics,emotional,primary ,2025-02-28 05:36:00
mostly36-7b4b-449a-9b94-4e7253930206,18,Hausa,academic,adolescence,,wisdom_language,culturalgrowth,"C_-1e.T.23165094,-0.",resilience,", ",If,- {,", ",2025-07-03 10:40:00
mostlyff-7f00-45be-a5c4-d97edfb88e02,13,Oromo,innovation,recorded_at,"location-Ties,-0.",In,outcome ,cultural_process,creativity,outcome,: ,: ,}_:,2024-05-29 02:21:00
mostly46-0b2b-40bc-aab9-edebd981f12e,14,Zulu,entrepreneurial,", ",2024,P,She1lyfleing amlt p ,emotional_at,leadership,Calleers a;iit.,S,recorded_ ,E.,2024-12-29 15:51:00
mostly11-00c8-4888-8f3a-70d337767f75,14,Shona,academic,: ,"She0.0208-1038,-0.3377,.81503,-0.2726,-0.,4-003719,-.3300.5080400,0.", ,ethicaltension,A in,leadership,Ao andekingor and h.,symbolic_at,wisdom_logic,"A,",2025-09-30 21:39:00
mostly4e-e567-4b4e-ad23-366791a10996,19,Hausa,identity,: {,"2025_s-100,, ",outcome,emotionall_process,outcome.,independence,", ",recorded__dynamics,: ,M ac theo d.,2024-04-13 18:05:00
mostly78-ebde-4795-943e-d33c880e1d5c,15,Zulu,social,,ethical_years,He ,recorded_gained,": ,-1.7631601,0. ",empathy,scenario{,emotional_growth,--1.,scenario_type,2024-03-07 12:34:00
mostly7f-125b-4cc1-b2ed-4cfa39b6aa1a,19,Oromo,innovation,", ",peer_gained,", ",wisdom_,", ",critical_thinking,age_growth,location_at,reasoning{,reasoning {,2024-06-09 17:08:00
mostlyf6-d607-4df8-ad59-41ced55f2f1e,17,Zulu,ethical,He,location,emotional_gained-0,description,", ",resilience,}2024,reasoning_type,", ",",-0..1963,0.12092, ",2025-06-15 01:28:00
mostlyfb-0227-4d48-925a-6fa914520e9f,16,Hausa,entrepreneurial,", ",scenario.,", ","leadership07ar.,-0.501030.8,0.",", ",integrity,", ",reasoning_,S_,reasoning,2025-01-24 01:18:00
mostly3c-fe16-42a5-a601-5f95f6aeb667,13,Amharic,entrepreneurial,B,neural_embeddingembedding,: ,location,A,resilience,", ",-0.,",00",", ",2024-03-09 10:08:00
mostly3f-15cc-450d-8596-05a9725e3f9e,14,Swahili,entrepreneurial,C,Friends_language,wisdom {,"2024ing, ",,independence,2025,cultural_type,"description and, {",", {",2025-02-13 05:35:00
mostly1d-344d-4499-8fcd-b40794c4add2,14,Swahili,social,age_years,B_type ,"scenarioat, ",In {,,integrity,:00,20250.{,age_,", ",2025-06-30 09:34:00
mostlyca-9166-4af8-b3dd-a1c8726e06a1,18,Swahili,academic,", ","Ae mealingertsye aal, c.",A ,"Aras ar,1, {",primary_,critical_thinking,age_type,scenario_tension,cultural ,: ,2024-07-18 11:16:00
mostlyba-713c-48d6-a83b-88fb4f232fe0,14,Yoruba,academic,description,Mlogic,{,description,symbolic_language,creativity,outcome,", ",description,",-0.,-1.62156,,-.",2024-07-19 17:55:00
mostlyd7-cbb2-4176-a5bf-744ab4057b05,18,Amharic,social,recorded inar,age_language,:,A, ,empathy,reasoning_A,cultural{,primarygrowth,2024,2025-04-06 18:02:00
mostly9c-34a4-41cd-ad8d-19c9d2f1f235,17,Swahili,social,"He, 16 ",scenario__gained,", ",age--21.,: ,empathy,neural_gained,peer_growth,primary,age_S,2024-06-10 18:11:00
mostlyf9-de17-42fc-bde9-10d2e8941be2,16,Zulu,academic,emotional_process-: {,In,C, ,outcome,empathy,"independence_, ",", ",Ogrowthateses;ct s d s a.,Aalr: for ,2024-11-23 02:42:00
mostlyb5-41b3-4e96-8cf3-6d2bbf8b7dea,19,Hausa,ethical,Shea: ,},Pe.,She,,leadership,"A; –at,",0.9.,recordedes,peer_type: ,2024-09-16 21:38:00
